City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,bouznika,33.7894,-7.1597,23.86,68,20,5.66,MA,1686510221
281,taoudenni,22.6783,-3.9836,39.58,9,0,4.16,ML,1686510221
282,inhambane,-23.865,35.3833,20.33,73,0,2.88,MZ,1686510222
283,springs,-26.25,28.4,11.81,37,0,3.42,ZA,1686510222
284,san pedro de cajas,-11.2511,-75.8617,8.76,71,97,2.93,PE,1686510222
285,duong dong,10.2167,103.9667,28.0,78,40,5.14,VN,1686510222
286,tateyama,34.9833,139.8667,20.96,100,75,1.03,JP,1686510222
287,gillette,44.2911,-105.5022,20.62,66,75,5.14,US,1686510222
288,badger,64.8,-147.5333,17.51,37,40,6.69,US,1686510222
289,hermanus,-34.4187,19.2345,13.78,88,100,8.45,ZA,1686510222
290,inarajan village,13.2736,144.7484,28.08,83,75,6.37,GU,1686510223
291,tymovskoye,50.8456,142.655,9.68,99,87,0.43,RU,1686510223
292,dawesville,30.9224,-84.0091,32.98,51,40,3.13,US,1686510223
293,kirakira,-10.4544,161.9205,26.52,85,61,3.72,SB,1686510223
294,trincomalee,8.5711,81.2335,28.51,73,91,8.89,LK,1686510224
295,laascaanood,8.4774,47.3597,29.13,40,100,11.02,SO,1686510224
296,sosnovka,56.255,51.2842,6.35,70,9,1.64,RU,1686510224
297,kodiak,57.79,-152.4072,7.73,93,100,5.14,US,1686510224
298,frederico westphalen,-27.3592,-53.3944,11.36,92,100,1.74,BR,1686510062
299,la gi,10.6667,107.7833,26.1,84,98,4.0,VN,1686510224
300,kyaukse,21.6,96.1333,28.09,64,39,3.18,MM,1686510224
301,saipan,15.1355,145.701,27.03,100,100,3.13,MP,1686510224
302,mao,39.8885,4.2658,25.31,65,0,1.03,ES,1686510225
303,tofol,5.3248,163.0078,28.4,79,50,8.81,FM,1686510225
304,vila velha,-20.3297,-40.2925,28.97,63,0,4.63,BR,1686510225
305,buka,40.8108,69.1986,28.17,31,100,2.26,UZ,1686510225
306,la'ie,21.6477,-157.9253,27.98,72,30,4.47,US,1686510225
307,nova sintra,14.8667,-24.7167,22.27,83,6,10.4,CV,1686510225
308,karratha,-20.7377,116.8463,19.13,32,0,4.34,AU,1686510225
309,la passe,45.5549,-0.8967,27.13,74,8,4.79,FR,1686510225
310,sydney mines,46.2367,-60.2177,19.03,77,75,7.72,CA,1686510226
311,udachny,66.4167,112.4,0.25,100,100,6.62,RU,1686510226
312,salekhard,66.53,66.6019,3.98,88,100,5.72,RU,1686510226
313,nantucket,41.2835,-70.0995,22.83,79,100,6.86,US,1686510036
314,nishinoomote,30.7333,131.0,23.09,95,100,9.77,JP,1686510226
315,axim,4.8699,-2.2405,25.56,77,100,4.33,GH,1686510226
316,katsuura,35.1333,140.3,21.01,95,100,0.96,JP,1686510226
317,safotu,-13.4513,-172.4018,28.28,80,17,8.7,WS,1686510226
318,kirensk,57.7853,108.1119,9.92,92,99,2.94,RU,1686510227
